Edad,Tipo_empleo,ID,Educacion,Tiempo_estudio,Estado_civil,Tipo_trabajo,Familia,Raza,Sexo,Ganancias,Perdidas,Hora_Trabajo,Pais,Ingresos_mayores_50k
39,7,77516,6,13,1,4,2,1,1,2174,0,40, United-States,0
50,6,83311,6,13,2,3,1,1,1,0,0,13, United-States,0
38,4,215646,4,9,3,9,2,1,1,0,0,40, United-States,0
53,4,234721,2,7,2,9,1,2,1,0,0,40, United-States,0
28,4,338409,6,13,2,1,5,2,0,0,0,40, Cuba,0
37,4,284582,7,14,2,3,5,1,0,0,0,40, United-States,0
49,4,160187,2,5,2,6,2,2,0,0,0,16, Jamaica,0
52,6,209642,4,9,2,3,1,1,1,0,0,45, United-States,1
31,4,45781,7,14,1,1,2,1,0,14084,0,50, United-States,1
42,4,159449,6,13,2,3,1,1,1,5178,0,40, United-States,1
37,4,280464,5,10,2,3,1,2,1,0,0,80, United-States,1
30,7,141297,6,13,2,1,1,3,1,0,0,40, India,1
23,4,122272,6,13,1,4,3,1,0,0,0,30, United-States,0
32,4,205019,3,12,1,5,2,2,1,0,0,50, United-States,0
40,4,121772,3,11,2,2,1,3,1,0,0,40, ?,1
34,4,245487,1,4,2,8,1,4,1,0,0,45, Mexico,0
25,6,176756,4,9,1,10,3,1,1,0,0,35, United-States,0
32,4,186824,4,9,1,7,4,1,1,0,0,40, United-States,0
38,4,28887,2,7,2,5,1,1,1,0,0,50, United-States,0
43,6,292175,7,14,3,3,4,1,0,0,0,45, United-States,1
40,4,193524,8,16,2,1,1,1,1,0,0,60, United-States,1
54,4,302146,4,9,4,6,4,2,0,0,0,20, United-States,0
35,1,76845,2,5,2,10,1,2,1,0,0,40, United-States,0
43,4,117037,2,7,2,8,1,1,1,0,2042,40, United-States,0
59,4,109015,4,9,3,11,4,1,0,0,0,40, United-States,0
56,2,216851,6,13,2,11,1,1,1,0,0,40, United-States,1
19,4,168294,4,9,1,2,3,1,1,0,0,40, United-States,0
54,0,180211,5,10,2,0,1,3,1,0,0,60, South,1
39,4,367260,4,9,3,3,2,1,1,0,0,80, United-States,0
49,4,193366,4,9,2,2,1,1,1,0,0,40, United-States,0
23,2,190709,3,12,1,12,2,1,1,0,0,52, United-States,0
20,4,266015,5,10,1,5,3,2,1,0,0,44, United-States,0
45,4,386940,6,13,3,3,3,1,1,0,1408,40, United-States,0
30,1,59951,5,10,2,4,3,1,1,0,0,40, United-States,0
22,7,311512,5,10,2,6,1,2,1,0,0,15, United-States,0
48,4,242406,2,7,1,7,4,1,1,0,0,40, Puerto-Rico,0
21,4,197200,5,10,1,7,3,1,1,0,0,40, United-States,0
19,4,544091,4,9,2,4,5,1,0,0,0,25, United-States,0
31,4,84154,5,10,2,5,1,1,1,0,0,38, ?,1
48,6,265477,3,12,2,1,1,1,1,0,0,40, United-States,0
31,4,507875,2,5,2,7,1,1,1,0,0,43, United-States,0
53,6,88506,6,13,2,1,1,1,1,0,0,40, United-States,0
24,4,172987,6,13,2,11,1,1,1,0,0,50, United-States,0
49,4,94638,4,9,4,4,4,1,0,0,0,40, United-States,0
25,4,289980,4,9,1,9,2,1,1,0,0,35, United-States,0
57,1,337895,6,13,2,1,1,2,1,0,0,40, United-States,1
53,4,144361,4,9,2,7,1,1,1,0,0,38, United-States,0
44,4,128354,7,14,3,3,4,1,0,0,0,40, United-States,0
41,7,101603,3,11,2,2,1,1,1,0,0,40, United-States,0
